country,energy_per_capita,gdp_per_capita
Afghanistan,1.0100048045671651e-06,1817.1841546505384
Albania,1.3668052668052667e-05,11902.82059043659
Algeria,1.5210944243051958e-05,13168.602500554856
Angola,3.605887247763678e-06,5131.405589071493
Argentina,2.2832306702215685e-05,18847.10857773283
Armenia,1.4331403269754767e-05,9532.48366212534
Australia,6.734966821909904e-05,44100.07006553188
Austria,4.54814222018978e-05,45158.340002286495
Azerbaijan,1.7394104354971238e-05,14893.179950698439
Bahrain,0.00014215918653576437,39326.73867040673
Bangladesh,2.3614894503118528e-06,3373.9090310062365
Barbados,2.510839160839161e-05,10337.62193006993
Belarus,2.8325428752911288e-05,19055.684946008892
Belgium,6.427840408666549e-05,39457.45992601726
Benin,2.128587196467991e-06,2139.901174392936
Bolivia,8.243020304568528e-06,6083.616672951414
Bosnia and Herzegovina,2.4397519196692262e-05,12365.73690253987
Botswana,9.749537037037037e-06,15160.978962962963
Brazil,1.6058666547977414e-05,13629.991273701246
Bulgaria,2.942519574944072e-05,17897.09172259508
Burkina Faso,7.630591011476992e-07,1633.5832568915584
Burundi,1.6237604881769642e-07,732.3138733791
Cambodia,2.9332107065837876e-06,3338.8827441329445
Cameroon,2.003009152839888e-06,2830.2954285953106
Canada,0.00010640417227826183,43152.02154852541
Central African Republic,4.795063904803879e-07,751.1751925958572
Chad,9.833814036533442e-08,1784.0670589204778
Chile,2.3931901806798838e-05,21472.898017463893
China,2.4938401286998098e-05,11951.49511308598
Colombia,1.0418744161909704e-05,12662.169174883238
Comoros,9.974874371859297e-07,1710.848
Congo,5.6589038345713714e-06,4198.377797229472
Costa Rica,1.288997754643805e-05,13928.902414370279
Cote d'Ivoire,2.4656424463753514e-06,3651.234542752802
Croatia,2.2131860299358518e-05,22164.46905203136
Cyprus,2.7043589743589743e-05,22683.76002735043
Czechia,4.3317355683209345e-05,30888.030888030888
Denmark,3.4302048677989846e-05,45351.07686919979
Djibouti,4.186221743810549e-06,3094.421907427341
Dominica,1.2774647887323945e-05,10185.943436619718
Dominican Republic,1.0118484323908444e-05,14329.678784381611
Ecuador,1.1179188648353646e-05,10248.014068279668
Egypt,1.0998845913581162e-05,11752.623164314376
El Salvador,6.328823159219635e-06,8074.039582127124
Equatorial Guinea,1.3371193415637859e-05,19669.032454320986
Estonia,5.353682611996962e-05,25576.803328777525
Eswatini,4.043087971274685e-06,9952.505105924596
Ethiopia,7.771493103481559e-07,1776.0103471907184
Finland,5.9642597308112045e-05,38377.591851582394
France,4.193069215067731e-05,40205.35659058576
Gabon,1.076394422310757e-05,12413.758215139442
Gambia,1.118194509073988e-06,1823.8715830618892
Georgia,1.93013698630137e-05,12856.361572104608
Germany,4.602840839963988e-05,47692.04564810084
Ghana,2.7047609016220774e-06,3510.989396812022
Greece,2.8991992463495054e-05,24870.466321243523
Guatemala,5.198395947657239e-06,6512.693722486884
Guinea,1.0768444368716988e-06,1718.4464760606577
Guinea-Bissau,9.506172839506172e-07,1336.5241391694724
Haiti,1.4143911439114391e-06,1582.573390405904
Honduras,5.400711897314205e-06,4254.174698738
Hungary,2.6512970368091872e-05,24197.68276427766
Iceland,0.00017764759036144578,43368.37397590362
India,6.3057477181840485e-06,5707.741044971056
Indonesia,7.752316903454709e-06,10246.371713896833
Iran,3.768062188929667e-05,15710.622894776532
Iraq,1.4723197945972521e-05,14858.922181857912
Ireland,3.837776831345827e-05,55792.163543441224
Israel,3.5556665433468984e-05,32926.37809840917
Italy,2.944584013319486e-05,35112.012264477526
Jamaica,1.2888506538196834e-05,7335.487075017206
Japan,4.0543451547005e-05,36004.16395983188
Jordan,1.3768787942223152e-05,9253.056066987649
Kazakhstan,4.212332454713701e-05,23554.483764230834
Kenya,1.9064054472804372e-06,3057.9792872869607
Kuwait,0.00011831817033105888,71518.82739449077
Kyrgyzstan,1.1239710240368785e-05,5590.703836680935
Laos,1.2008910312591294e-05,6483.808850715746
Latvia,2.2037487335359678e-05,23208.147647416412
Lebanon,1.4187965445338099e-05,11783.817417932678
Lesotho,2.1069879518072287e-06,2837.7324877108435
Liberia,1.0379332897318509e-06,762.1678657074341
Libya,3.257593961799138e-05,8158.353744916821
Lithuania,2.231038062283737e-05,25973.631734256054
Luxembourg,7.313126079447323e-05,69653.35013471503
Madagascar,6.932995902627139e-07,1282.6387723949547
Malawi,4.7474571345539085e-07,1044.696286893345
Malaysia,3.809551898321656e-05,22388.789310738146
Mali,9.377678819927638e-07,1426.7698373504036
Malta,7.446559633027523e-05,27801.989871559632
Mauritania,2.7257444764649376e-06,2920.230363112392
Mauritius,1.9920760697305865e-05,20136.68412044374
Mexico,1.7534787931859273e-05,15243.2844413093
Moldova,9.391785538612887e-06,5075.3756615838665
Mongolia,1.9272905759162305e-05,11014.154052356022
Montenegro,1.9891547049441787e-05,18767.751145135568
Morocco,6.312389682856004e-06,7515.800261914252
Mozambique,3.4978440531800214e-06,1170.2611248293208
Myanmar,2.843076633047413e-06,6390.800263926854
Namibia,8.577184054283292e-06,12129.379012722646
Nepal,1.7207937497707517e-06,2753.986157356124
Netherlands,5.854496201637124e-05,49408.16206348272
New Zealand,5.3336123631680616e-05,34127.49517063748
Nicaragua,4.629124365482233e-06,4611.552162436548
Niger,4.7250950021646067e-07,813.9574982923662
Nigeria,2.7256775650677565e-06,5323.725532372553
North Macedonia,1.4529553099471408e-05,14013.791830850552
Norway,0.00010126299752428108,76175.96648257475
Oman,7.503170350524671e-05,37508.37240455459
Pakistan,4.347324156053875e-06,5009.060309714717
Panama,3.070398810998266e-05,19766.729844934358
Paraguay,3.180038359398053e-05,8712.91173089407
Peru,9.748043717260557e-06,11479.014421522344
Philippines,4.64866298811545e-06,7572.542058959716
Poland,3.035081207718024e-05,26323.40940798652
Portugal,2.9132481115630447e-05,27600.23242300988
Qatar,0.00020884890730972117,113036.92539562924
Romania,1.906263891695292e-05,20660.73954334209
Russia,5.4990731785056936e-05,22853.208171910752
Rwanda,4.253149370125975e-07,1731.451228382895
Saint Lucia,1.02e-05,9782.599822222222
Sao Tome and Principe,3.0738916256157636e-06,3550.344827586207
Saudi Arabia,9.398366365625868e-05,46234.93511697438
Senegal,2.287248232626384e-06,2645.6310951047085
Serbia,2.1482493788118364e-05,13779.082900384008
Seychelles,4.753125e-05,24079.250666666667
Sierra Leone,6.279164961113385e-07,878.7461099740756
Singapore,0.00017088751326494516,68623.98302087018
Slovakia,3.327342888643881e-05,26460.859977949283
Slovenia,3.794840887174542e-05,28525.254973963354
South Africa,2.6181148590947905e-05,11528.60802732707
South Korea,6.626034168252162e-05,36286.60533903458
Spain,3.374366342153793e-05,31736.501265171333
