country,year,energy_per_capita
Bahrain,2010,138769.04
Bahrain,2011,133368.644
Bahrain,2012,141063.148
Bahrain,2013,155200.434
Bahrain,2014,149096.597
Bahrain,2015,148831.616
Bahrain,2016,142158.902
Iceland,2010,168804.644
Iceland,2011,167258.358
Iceland,2012,167360.551
Iceland,2013,172178.609
Iceland,2014,170906.126
Iceland,2015,177833.485
Iceland,2016,177647.358
Qatar,2010,181044.002
Qatar,2011,190997.01
Qatar,2012,200976.542
Qatar,2013,203108.982
Qatar,2014,207376.531
Qatar,2015,221633.7
Qatar,2016,208849.051
Singapore,2010,155434.242
Singapore,2011,157523.282
Singapore,2012,155097.388
Singapore,2013,156039.524
Singapore,2014,158440.836
Singapore,2015,166492.095
Singapore,2016,170887.453
Trinidad and Tobago,2010,176106.743
Trinidad and Tobago,2011,171910.958
Trinidad and Tobago,2012,168104.048
Trinidad and Tobago,2013,170085.114
Trinidad and Tobago,2014,168217.042
Trinidad and Tobago,2015,162264.395
Trinidad and Tobago,2016,143129.432
