country,primary_energy_consumption,gdp,population
Afghanistan,35.737,64297426944.0,35383000.0
Africa,5105.052,,1213041024.0
Albania,39.446,34351540224.0,2886000.0
Algeria,616.819,534000000000.0,40551000.0
American Samoa,1.464,,56000.0
Angola,104.001,148000000000.0,28842000.0
Antigua and Barbuda,3.067,,95000.0
Argentina,993.388,820000000000.0,43508000.0
Armenia,42.077,27987372032.0,2936000.0
Aruba,5.418,,105000.0
Asia Pacific,64758.213,,
Australia,1634.105,1070000000000.0,24263000.0
Austria,397.826,395000000000.0,8747000.0
Azerbaijan,169.349,145000000000.0,9736000.0
Bahamas,12.38,,378000.0
Bahrain,202.719,56079929344.0,1426000.0
Bangladesh,373.061,533000000000.0,157976992.0
Barbados,7.181,2956559872.0,286000.0
Belarus,267.562,180000000000.0,9446000.0
Belgium,729.817,448000000000.0,11354000.0
Belize,3.088,,368000.0
Benin,23.142,23265005568.0,10872000.0
Bermuda,3.164,,63000.0
Bhutan,24.753,,737000.0
Bolivia,90.937,67114459136.0,11032000.0
Bosnia and Herzegovina,82.61,41870385152.0,3386000.0
Botswana,21.059,32747714560.0,2160000.0
Brazil,3310.703,2810000000000.0,206163008.0
British Virgin Islands,0.759,,29000.0
Brunei,52.006,,420000.0
Bulgaria,210.449,128000000000.0,7152000.0
Burkina Faso,14.228,30459793408.0,18646000.0
Burundi,1.703,7680507904.0,10488000.0
CIS,10202.149,,
Cambodia,46.245,52640825344.0,15766000.0
Cameroon,47.926,67720478720.0,23927000.0
Canada,3871.303,1570000000000.0,36383000.0
Cape Verde,3.676,3601136128.0,531000.0
Cayman Islands,2.655,,63000.0
Central African Republic,2.176,3408833024.0,4538000.0
Central America,361.967,,
Chad,1.432,25979584512.0,14562000.0
Chile,435.776,391000000000.0,18209000.0
China,35264.122,16900000000000.0,1414049024.0
Colombia,501.923,610000000000.0,48175000.0
Comoros,0.794,1361835008.0,796000.0
Congo,28.187,20912119808.0,4981000.0
Cook Islands,0.376,,18000.0
Costa Rica,63.148,68237692928.0,4899000.0
Cote d'Ivoire,58.739,86983360512.0,23823000.0
Croatia,93.153,93290250240.0,4209000.0
Cuba,126.125,,11335000.0
Cyprus,31.641,26539999232.0,1170000.0
Czechia,459.987,328000000000.0,10619000.0
Czechoslovakia,,480000000000.0,
Democratic Republic of Congo,38.53,67812974592.0,78789000.0
Denmark,195.899,259000000000.0,5711000.0
Djibouti,3.889,2874717952.0,929000.0
Dominica,0.907,723201984.0,71000.0
Dominican Republic,105.212,149000000000.0,10398000.0
Eastern Africa,566.53,,
Ecuador,184.356,169000000000.0,16491000.0
